Channel 0 Raw Value,Channel 0 Converted Value,Channel 1 Raw Value,Channel 1 Converted Value,Channel 2 Raw Value,Channel 2 Converted Value
no_data,no_data
no_data,no_data,no_data,no_data
no_data,no_data,no_data,no_data,no_data,no_data
no_data,no_data
no_data,no_data,55,94.6
no_data,no_data,55,94.6,370,63.8
332,67.5
332,67.5,522,49.0
332,67.5,522,49.0,748,26.900000000000006
430,58.0
430,58.0,588,42.5
430,58.0,588,42.5,756,26.099999999999994
277,72.9
277,72.9,774,24.299999999999997
277,72.9,774,24.299999999999997,819,19.900000000000006
844,17.5
844,17.5,747,27.0
844,17.5,747,27.0,576,43.7
918,10.299999999999997
918,10.299999999999997,804,21.400000000000006
918,10.299999999999997,804,21.400000000000006,648,36.7
925,9.599999999999994
925,9.599999999999994,929,9.200000000000003
925,9.599999999999994,929,9.200000000000003,784,23.400000000000006
907,11.299999999999997
907,11.299999999999997,874,14.599999999999994
907,11.299999999999997,874,14.599999999999994,928,9.299999999999997
746,27.099999999999994
746,27.099999999999994,611,40.3
746,27.099999999999994,611,40.3,456,55.4
732,28.400000000000006
732,28.400000000000006,627,38.7
732,28.400000000000006,627,38.7,681,33.400000000000006
733,28.299999999999997
733,28.299999999999997,707,30.900000000000006
733,28.299999999999997,707,30.900000000000006,758,25.900000000000006
748,26.900000000000006
748,26.900000000000006,735,28.200000000000003
748,26.900000000000006,735,28.200000000000003,704,31.200000000000003
744,27.299999999999997
744,27.299999999999997,650,36.5
744,27.299999999999997,650,36.5,653,36.2
744,27.299999999999997
744,27.299999999999997,706,31.0
744,27.299999999999997,706,31.0,656,35.900000000000006
745,27.200000000000003
745,27.200000000000003,663,35.2
745,27.200000000000003,663,35.2,658,35.7
729,28.700000000000003
729,28.700000000000003,560,45.3
729,28.700000000000003,560,45.3,430,58.0
745,27.200000000000003
745,27.200000000000003,596,41.7
745,27.200000000000003,596,41.7,474,53.7
749,26.799999999999997
749,26.799999999999997,577,43.6
749,26.799999999999997,577,43.6,462,54.8
766,25.099999999999994
766,25.099999999999994,336,67.2
766,25.099999999999994,336,67.2,no_data,no_data
no_data,no_data
no_data,no_data,no_data,no_data
no_data,no_data,no_data,no_data,no_data,no_data
no_data,no_data
no_data,no_data,no_data,no_data
no_data,no_data,no_data,no_data,no_data,no_data
no_data,no_data
no_data,no_data,no_data,no_data
no_data,no_data,no_data,no_data,757,26.0
752,26.5
752,26.5,752,26.5
752,26.5,752,26.5,747,27.0
768,24.900000000000006
768,24.900000000000006,740,27.700000000000003
768,24.900000000000006,740,27.700000000000003,735,28.200000000000003
740,27.700000000000003
740,27.700000000000003,760,25.700000000000003
740,27.700000000000003,760,25.700000000000003,727,28.900000000000006
709,30.700000000000003
709,30.700000000000003,570,44.3
709,30.700000000000003,570,44.3,480,53.1
704,31.200000000000003
704,31.200000000000003,35,96.6
704,31.200000000000003,35,96.6,no_data,no_data
no_data,no_data
no_data,no_data,no_data,no_data
no_data,no_data,no_data,no_data,no_data,no_data
no_data,no_data
no_data,no_data,no_data,no_data
no_data,no_data,no_data,no_data,720,29.599999999999994
736,28.099999999999994
736,28.099999999999994,764,25.299999999999997
736,28.099999999999994,764,25.299999999999997,719,29.700000000000003
739,27.799999999999997
739,27.799999999999997,734,28.299999999999997
739,27.799999999999997,734,28.299999999999997,723,29.299999999999997
752,26.5
752,26.5,742,27.5
752,26.5,742,27.5,729,28.700000000000003
733,28.299999999999997
733,28.299999999999997,768,24.900000000000006
733,28.299999999999997,768,24.900000000000006,725,29.099999999999994
767,25.0
